THEME,TITLE,ARTIST,YEAR,SPOTIFY_URL
People and places,Eight Miles High,The Byrds,1966,http://open.spotify.com/track/3M2vp32P9xXHsVRcva9G5c
People and places,Drive,The Cars,1984,http://open.spotify.com/track/2KjYhaRlB5NtCJ0JotvJhZ
Life and death,Will the Circle Be Unbroken (By and By),The Carter Family,1935,
Love,Thatâ€™s How Long,The Chi-Lites,1974,
Love,Stoned Out of My Mind,The Chi-Lites,1973,http://open.spotify.com/track/3R35ltXFfFzAk5cCAKgZF8
Heartbreak,Should I Stay Or Should I Go,The Clash,1982,http://open.spotify.com/track/0uwXVXNfzPJtpv3iCBAgDD
Politics and protest,Straight to Hell,The Clash,1982,http://open.spotify.com/track/7mjrA5T6KQ4sb0qSgUu5nJ
People and places,London Calling,The Clash,1979,http://open.spotify.com/track/6UxHw23oizTlIyolc4Alaz
Love,Stay Free,The Clash,1978,
Politics and protest,White Riot,The Clash,1977,http://open.spotify.com/track/40t0GuTTYhobrOijf3PfEP
People and places,Riot in Cell Block #9,The Coasters,1954,http://open.spotify.com/track/5Hl3bPQuASTEb4t3GxhlkI
Heartbreak,Donâ€™t Leave Me This Way,The Communards,1986,http://open.spotify.com/track/6G27JoyRv8Ly085NkPIRWB
Life and death,Fisherman,The Congos,1977,http://open.spotify.com/track/00m6N23ZTNEtsg65N1WcDV
Love,Do You Love Me?,The Contours,1962,http://open.spotify.com/track/1nalk6Yqn0vRg8iiYlfeYd
Party songs,Drug Train,The Cramps,1980,http://open.spotify.com/track/4a61QVxWahKxq40GtkcS3x
Life and death,Thatâ€™ll Be the Day,The Crickets,1957,http://open.spotify.com/track/1EsziXsEVchm2bueFMIzax
Love,Then He Kissed Me,The Crystals,1963,http://open.spotify.com/track/6OoJfmP08PBCLic4JBztsJ
Heartbreak,He Hit Me (And it Felt Like a Kiss),The Crystals,1962,
Love,Friday Iâ€™m in Love,The Cure,1992,http://open.spotify.com/track/6TaVUwd1GxmOcR337FZM75
Heartbreak,Disintegration,The Cure,1989,http://open.spotify.com/track/65QOLZaDsPoJp6nDi7Ln4l
Life and death,Killing an Arab,The Cure,1978,http://open.spotify.com/track/4kE10gVBAweSufT8XOcdWv
Politics and protest,16 Military Wives,The Decemberists,2005,http://open.spotify.com/track/5apLxy6Ko3gkOw8YtavIoe
Politics and protest,Television: The Drug of theÂ Nation,The Disposable Heroes of Hiphoprisy,1991,http://open.spotify.com/track/4ktMrTwZD42cZThzZlHcgT
People and places,On Broadway,The Drifters,1963,http://open.spotify.com/track/1rDBmONfSiBaJJGqDH2OH5
Sex,Lyinâ€™ Eyes,The Eagles,1975,
Life and death,Ebony Eyes,The Everly Brothers,1961,http://open.spotify.com/track/4eZfC3Dda1SNsNAgMxoKXN
Sex,Stay With Me,The Faces,1971,http://open.spotify.com/track/6qpWQy2fQy7X0jJTg7UoiO
People and places,Leave the Capitol,The Fall,1981,
Sex,Passion,The Flirts,1982,
People and places,Sin City,The Flying Burrito Brothers,1969,http://open.spotify.com/track/79eJ1pa0yAAFlloGPizz8W
People and places,Green Fields,"The Good, the Bad and the Queen",2007,
Heartbreak,Weightless Again,The Handsome Family,1998,
Sex,The Man That I Am With My Man,The Hidden Cameras,2003,http://open.spotify.com/track/4O1lOLB77K8jOilQOYnULt
Life and death,Stuck Between Stations,The Hold Steady,2006,http://open.spotify.com/track/4wp6Zi8ugh2aso4J3XnXln
Heartbreak,Christine,The House of Love,1988,
Heartbreak,Donâ€™t You Want Me?,The Human League,1981,http://open.spotify.com/track/5lmYpa6EaVAKAlwxMf7q5c
Politics and protest,Check Out Your Mind,The Impressions,1970,http://open.spotify.com/track/112ofK4eq7gS0gRqNNxQMM
Politics and protest,People Get Ready,The Impressions,1965,http://open.spotify.com/track/1MlXd4giftxXZgeMItb3PQ
Love,Iâ€™m So Proud,The Impressions,1964,http://open.spotify.com/track/6mLycrS3LfCUERnOWm8luW
Sex,Between the Sheets,The Isley Brothers,1983,http://open.spotify.com/track/0RBg0YkVr7B6PGgK13PUhw
Love,Summer Breeze,The Isley Brothers,1973,http://open.spotify.com/track/5tECQN3UPXULg4nzgkXM9r
Heartbreak,I Want You Back,The Jackson 5,1970,http://open.spotify.com/track/2nPXRL8SX00vl9zeQHMSQp
Politics and protest,Going Underground,The Jam,1980,http://open.spotify.com/track/0hhikHUpfUlMBRD2gSf0mu
Politics and protest,The Eton Rifles,The Jam,1979,http://open.spotify.com/track/3Q1p4GBjyj6n54oFBCicwB
People and places,Down in the Tube Station at Midnight,The Jam,1978,http://open.spotify.com/track/3pmY0mjzWegSxdMPwYZwSj
Life and death,Hey Joe,The Jimi Hendrix Experience,1966,http://open.spotify.com/track/4wCeZzV2w2s7QwNRZQRDhU
Heartbreak,Mr Brightside,The Killers,"2,003.00",http://open.spotify.com/track/4ZefAE6wZ6BEATniPk4DWI
Party songs,Louie Louie,The Kingsmen,1963,http://open.spotify.com/track/3VctpyG5B5Y6dbTep9NmOP
Heartbreak,Lola,The Kinks,1970,http://open.spotify.com/track/191w1gNvwUI55Pk6PcVvMx
People and places,The Village Green Preservation Society,The Kinks,1968,
Politics and protest,The Village Green Preservation Society,The Kinks,1968,
People and places,Waterloo Sunset,The Kinks,1967,http://open.spotify.com/track/2nlvl52hnkBMoWPmWChXM8
People and places,Dead End Street,The Kinks,1966,http://open.spotify.com/track/2qYhnsUIiu31svhUA5yGZD
Love,You Really Got Me,The Kinks,1964,http://open.spotify.com/track/0yjEOL4g41q4rAqoguFF0s
Party songs,My Sharona,The Knack,1979,http://open.spotify.com/track/1FTnBp64Iy26qERGibjknm
Party songs,Canâ€™t Stand Me Now,The Libertines,2004,http://open.spotify.com/track/2cY5MaSgqNXLSkjGb5iRl1
Life and death,Knoxville Girl,The Louvin Brothers,1959,http://open.spotify.com/track/4MEyZH8XHQUd0vieDbOa6O
People and places,Kentucky,The Louvin Brothers,1956,http://open.spotify.com/track/15GmkMpAv2Q3txQLW2c1nZ
Sex,Darling Be Home Soon,The Lovinâ€™ Spoonful,1967,http://open.spotify.com/track/0WyaWFJqhVdHxK2pY9Xg8U
People and places,California Dreaminâ€™,The Mamas and the Papas,1965,http://open.spotify.com/track/1pxO7IS622Q8DQJ7uK7JRt
Politics and protest,Trouble Every Day,The Mothers of Invention,1966,
Heartbreak,No Children,The Mountain Goats,2003,http://open.spotify.com/track/6KyyTheVmJZsNdqwOj0MR3
Party songs,Iâ€™m in the Mood for Dancing,The Nolans,1979,http://open.spotify.com/track/5ZfCBpUOj3guBzjQIsDhIr
Sex,Warm Leatherette,The Normal,1978,http://open.spotify.com/track/6LNFfNZ5HL9lDQpB52eGOh
Life and death,Mo Money Mo Problems,The Notorious BIG,1997,http://open.spotify.com/track/2XncSBceg7BwEpbWVI6FLi
Life and death,Suicidal Thoughts,The Notorious BIG,1994,http://open.spotify.com/track/5k8VqtBhkbAYakV5ZEFYNo
Life and death,Iron Maiden,The Number of the Beast,1982,http://open.spotify.com/track/7gs3FWszkPUxBogi7oyt1y
Politics and protest,Streets of Sorrow/Birmingham Six,The Pogues,1988,http://open.spotify.com/track/2k4Gltjyhvfe9yCHN99tyD
People and places,Dirty Old Town,The Pogues,1985,http://open.spotify.com/track/7IMYW63MR1U33kX7LOecPl
People and places,Rainy Night in Soho,The Pogues,1985,http://open.spotify.com/track/6vSHxP7R5Ml9zqyO2JM5v9
Party songs,Streams of Whiskey,The Pogues,1984,http://open.spotify.com/track/4ftQUqPjuk4KtAIHqqYzmN
Party songs,Jump (For My Love),The Pointer Sisters,1984,http://open.spotify.com/track/59K6GctkD8lWljFYa8eE6D
Heartbreak,Every Breath You Take,The Police,1983,http://open.spotify.com/track/0A4Btqar6Y5B4hfs9pZnSE
Life and death,Message in a Bottle,The Police,1979,http://open.spotify.com/track/33MxZySx17wtJmXUeQwrdG
Heartbreak,Canâ€™t Stand Losing You,The Police,1978,http://open.spotify.com/track/1VKbWRpwV2XXSJSZ2w534h
Sex,Roxanne,The Police,1978,http://open.spotify.com/track/4pe9XMdCpgblon0CrB9jtm
Love,She is Beyond Good and Evil,The Pop Group,1979,http://open.spotify.com/track/2A99HGtYXdCZKYrvPqzA6v
Love,Iâ€™ll Stand By You,The Pretenders,1994,http://open.spotify.com/track/2bFG1ywgBAyZbJGMApTPfJ
Party songs,Brass in Pocket,The Pretenders,1979,http://open.spotify.com/track/3LRFgPsd8LwJb8TJchrAuO
Love,Letâ€™s Get Married,The Proclaimers,1994,http://open.spotify.com/track/3P7bVGMkeVSJBOqQXPNJit
Party songs,Out of Space,The Prodigy,1992,http://open.spotify.com/track/6XlhmDYOFPSWho2gib2F9z
Party songs,House of Jealous Lovers,The Rapture,2002,http://open.spotify.com/track/7lsMHdLHRRkGElzVPn91ZW
Love,Unchained Melody,The Righteous Brothers,1965,http://open.spotify.com/track/2ACjOtICHXrAlP3ijVMSvb
Heartbreak,Youâ€™ve Lost That Lovinâ€™ Feelinâ€™,The Righteous Brothers,"1,964.00",http://open.spotify.com/track/4Y7jrcaXsSFyf5g4YLcAaB
People and places,Moonlight Mile,The Rolling Stones,1971,http://open.spotify.com/track/19syRYigiBrdGj5HUqBjzx
Sex,Honky Tonk Women,The Rolling Stones,1969,http://open.spotify.com/track/0KoKNKBkQaAulzTJ5WLV6I
Politics and protest,Street Fighting Man,The Rolling Stones,1968,http://open.spotify.com/track/7eZ2NUG1G7SKssQqt4uRcy
People and places,Ruby Tuesday,The Rolling Stones,1967,http://open.spotify.com/track/5dv34fSvGLhCaPNjiytAva
Sex,Letâ€™s Spend the NightÂ Together,The Rolling Stones,1967,http://open.spotify.com/track/2Zko8gc25EbLJ7GCWAaB6E
Heartbreak,Stupid Girl,The Rolling Stones,1966,http://open.spotify.com/track/1jlF5p7TTVhT1pvk1jdxZz
Heartbreak,Under My Thumb,The Rolling Stones,1966,http://open.spotify.com/track/4H5hI3u6LmIRlXnWR89opX
Life and death,Paint it Black,The Rolling Stones,1966,http://open.spotify.com/track/29njOUf53Vc91WEeya44vO
Heartbreak,(The Best Part of) Breakinâ€™ Up,The Ronettes,1964,
Love,Be My Baby,The Ronettes,1963,http://open.spotify.com/track/0eXzLs2mOlkZXeftGN0SNH
Love,Leader of the Pack,The Shangri-Las,1964,http://open.spotify.com/track/7rwBWEQ6APQBQ5sFDOytDb
Love,Will You Love Me Tomorrow?,The Shirelles,1961,http://open.spotify.com/track/5SqfqdRQBq3JttB5Nh08H2
Heartbreak,All Or Nothing,The Small Faces,1966,http://open.spotify.com/track/3NkE5aI8aPPnoG8w2xBwNF
Love,There is a Light That Never Goes Out,The Smiths,"1,986.00",
Heartbreak,I Know Itâ€™s Over,The Smiths,1986,
Party songs,How Soon Is Now?,The Smiths,1985,
Heartbreak,"Please, Please, Please Let Me Get What I Want",The Smiths,1984,
Sex,Reel Around the Fountain,The Smiths,1984,
Politics and protest,Free Nelson Mandela,The Special AKA,1984,http://open.spotify.com/track/57mY4qUaUegA3jvoyoz7oT
Politics and protest,Ghost Town,The Specials,1981,http://open.spotify.com/track/7iOA86nwA7RF3GwMa93H0v
Party songs,Nite Klub,The Specials,1979,http://open.spotify.com/track/2wpQZvvrg6zUBPPBdWgcLK
Party songs,Iâ€™m a Man,The Spencer Davis Group,1967,http://open.spotify.com/track/7vRhkN9rpM0FtDhBdZypn4
Love,Wannabe,The Spice Girls,1996,http://open.spotify.com/track/1Je1IMUlBXcx1Fz0WE7oPT
Love,Iâ€™ll Be Around,The Spinners,1972,http://open.spotify.com/track/2vLaES21zwbX1Rnmj56Bbb
People and places,Rank Stranger,The Stanley Brothers,1950,http://open.spotify.com/track/1AkjPhgexQuQkeJpB3sS5E
Politics and protest,Long Walk to DC,The Staple Singers,1968,http://open.spotify.com/track/7yDbI673oElwJy891HuBHZ
Love,She Bangs the Drums,The Stone Roses,1989,http://open.spotify.com/track/5b6sFRZWMfcunej0zWE28r
Sex,I Wanna Be Your Dog,The Stooges,1969,http://open.spotify.com/track/6clhKRH03Y0FWMTW3R1pHq
Heartbreak,Dry Your Eyes,The Streets,2004,http://open.spotify.com/track/1DlCpos9Lj8pK6cYMRjipp
Heartbreak,Last Nite,The Strokes,2001,http://open.spotify.com/track/7kzKAuUzOITUauHAhoMoxA
Party songs,Rapperâ€™s Delight,The Sugarhill Gang,1979,http://open.spotify.com/track/1qb27ZTsi0gVxHteAjPOyD
Party songs,Saturday Nite Special,The Sundown Playboys,1972,
Love,Stoned Love,The Supremes,1970,
Love,You Canâ€™t Hurry Love,The Supremes,1966,http://open.spotify.com/track/046ZhBbIMSnG3UXHXJD1cy
Heartbreak,You Keep Me Hanginâ€™ On,The Supremes,1966,http://open.spotify.com/track/6tLPgXlqugmn2XfNnmGoVp
Love,Baby Love,The Supremes,1964,http://open.spotify.com/track/5uM9zdUz8PpYJME9wZCM4W
Heartbreak,Where Did Our Love Go?,The Supremes,1964,http://open.spotify.com/track/6yz8hKpO3s2byra8Et3w9x
Party songs,Wipe Out,The Surfaris,1962,http://open.spotify.com/track/6uudeEvl6t5WrFgobojt3D
Love,Why Do Fools Fall in Love?,The Teenagers featuring Frankie Lymon,1956,http://open.spotify.com/track/2xKfXRhw5xaUXfevJJspZf
Party songs,Cloud Nine,The Temptations,1968,http://open.spotify.com/track/5yGqsTtt4oDRY1FdVsVqSL
Love,My Girl,The Temptations,1964,http://open.spotify.com/track/0651FOAfvX33QIjpYL4F95
Life and death,This Is the Day,The The,1983,http://open.spotify.com/track/5O7RVmqK3AYoFfyeafxOqH
Party songs,Great DJ,The Ting Tings,2008,http://open.spotify.com/track/3kmSzP8JUM4kUwPWbOFwqA
Party songs,Disco Inferno,The Trammps,1976,http://open.spotify.com/track/5jUA1njy3h6ynHLvPdEVHt
Sex,Wild Thing,The Troggs,1966,http://open.spotify.com/track/12PKavTaqOLlyC7tRWO4dw
People and places,My Perfect Cousin,The Undertones,1980,http://open.spotify.com/track/2YGzQWJGukgL3eXslK1okj
Sex,Turning Japanese,The Vapors,1980,http://open.spotify.com/track/30cHDhxUqgnHq78hv5UjMx
Life and death,Jesus,The Velvet Underground,1969,http://open.spotify.com/track/030AxdYEncwjWPZGEL2fDa
Sex,Venus in Furs,The Velvet Underground,1967,http://open.spotify.com/track/3BS0Y8iDtIK5SDvXpxUN17
Heartbreak,Femme Fatale,The Velvet Underground and Nico,1967,http://open.spotify.com/track/63uM3G418omzGOIT9ltPmt
Politics and protest,"Get Up, Stand Up",The Wailers,1973,http://open.spotify.com/track/4xAMYRrgL5JaaR57g2cPrS
Heartbreak,Make it Easy on Yourself,The Walker Brothers,1965,http://open.spotify.com/track/5RT0MynLRywe8D3UHJ4UNG
Life and death,You in the Sky,The Waterboys,2006,
Sex,Pictures of Lily,The Who,1967,http://open.spotify.com/track/7mUd2EEqieY6tcAdEzzuWs
Heartbreak,Substitute,The Who,1966,http://open.spotify.com/track/6AtYt0gDIi6I38fOfkV31y
Politics and protest,My Generation,The Who,1965,http://open.spotify.com/track/4kxrawSkeAoJiASQArwqYO
Party songs,My Generation,The Who,1965,http://open.spotify.com/track/4kxrawSkeAoJiASQArwqYO
Love,Gloria,Them,1964,http://open.spotify.com/track/4VS4B6BjBK6liTPCf8O4aJ
Love,Here Comes the Night,Them/Van Morrison,1965,http://open.spotify.com/track/7knFQrGf88XnKjgyGrB70p
People and places,The Boys Are Back in Town,Thin Lizzy,1976,http://open.spotify.com/track/3w7SMX2L4Tx6GAR8cr5H5L
Politics and protest,Harrowdown Hill,Thom Yorke,2006,http://open.spotify.com/track/2C3xIudHEjCIS5KT4JuM0b
Sex,Get On Top,Tim Buckley,1972,http://open.spotify.com/track/2OqesAvEfzM5KvBHhRlz5l
People and places,Tribute to Hank Williams,Tim Hardin,1967,http://open.spotify.com/track/7EIObUsjH82rWe34Alrou9
Party songs,Hit the Bongo,Tito Puente,"1,968.00",
Heartbreak,No Scrubs,TLC,1999,http://open.spotify.com/track/5iJUGd5boRXsCmW00B3Mtq
Sex,Red Light Special,TLC,1994,http://open.spotify.com/track/2p4kivh3HWz9TiyIuFuzlY
Love,I Saw the Light,Todd Rundgren,1972,http://open.spotify.com/track/2QNMAvCnpIN6P43f8HPKp1
Heartbreak,Delilah,Tom Jones,1968,http://open.spotify.com/track/0hK0cOpYF3cLB49VbMa7AV
Politics and protest,Glad to Be Gay,Tom Robinson,1978,http://open.spotify.com/track/15mRglwFDmZEF5D0HfsiaQ
Politics and protest,The Day After Tomorrow,Tom Waits,"2,004.00",http://open.spotify.com/track/6ipRDQPnSMst9V3wVQjVGg
People and places,In the Neighbourhood,Tom Waits,1983,
People and places,"Johnsburg, Illinois",Tom Waits,1983,http://open.spotify.com/track/1Opgvak0Qc2kyLVLFbuu1V
Heartbreak,Rubyâ€™s Arms,Tom Waits,1980,http://open.spotify.com/track/0YUvSNoGzYp67QjLOmzVnW
Life and death,Martha,Tom Waits,1973,http://open.spotify.com/track/2r0SdO3iOO3dmmVUdwzwzD
Sex,Crimson and Clover,Tommy James and the Shondells,1968,http://open.spotify.com/track/1vXuYPpkLjn1v06E2EsWQY
Sex,Wild Thing,Tone Loc,1989,http://open.spotify.com/track/14xYQ6TjnKfEeAGl4C38oq
Heartbreak,He Wasnâ€™t Man Enough ,Toni Braxton,2000,http://open.spotify.com/track/2uHlwcSyNpekOl9EybwVaU
People and places,I Left My Heart in San Francisco,Tony Bennett,1962,http://open.spotify.com/track/6T4wzk2iyRcdmEQUcqk1s8
People and places,54-46 (Thatâ€™s My Number),Toots and the Maytals,1968,http://open.spotify.com/track/0KVxbnJ6OfDj6P47KogYo7
People and places,Snowinâ€™ on Raton,Townes Van Zandt,1987,
Party songs,Stop Bajon (Primavera),Tullio De Piscopo,1984,http://open.spotify.com/track/1JcmMYyRAbj00Q90oHBsBr
Life and death,I Ainâ€™t Mad at Cha,Tupac,1996,http://open.spotify.com/track/5IruGb6BKWcB7hpPnj4YQO
Politics and protest,Keep Ya Head Up,Tupac,1993,http://open.spotify.com/track/73hn54pVkteT7E2CrdAlvU
Life and death,Hail Mary,Tupac - as Makaveli,1997,http://open.spotify.com/track/2jNlqJV2GnmKosuuvJS8RY
Sex,Oops (Oh My),Tweet,2002,
Love,Terry,Twinkle,1964,
Life and death,One,U2,1992,http://open.spotify.com/track/4lnFwlk4m7hhFHCWmMbLqW
Sex,Desire,U2,1988,http://open.spotify.com/track/3caWBz55YTpETVOJvHBI6C
Heartbreak,With Or Without You,U2,1987,http://open.spotify.com/track/2JZfTvWWtpaE8NohqRXqFr
Life and death,Exit,U2,1987,http://open.spotify.com/track/7EyUsCwlxmxIib6CWWSo76
Politics and protest,Sunday Bloody Sunday,U2,1983,http://open.spotify.com/track/7JLEWweiny60arxyKTKIwl
Politics and protest,We Are the World,USA for Africa,1985,
Party songs,A Punk,Vampire Weekend,2008,http://open.spotify.com/track/0euZeG7kpPhtp4V6e8b9kC
People and places,Coney Island,Van Morrison,1989,http://open.spotify.com/track/51uJPonFb6B4bjVXXIb6oR
Heartbreak,Itâ€™s All in the Game,Van Morrison,1979,http://open.spotify.com/track/4LPR6jSlFTTHavQVaYLfXR
Love,Madame George,Van Morrison,1968,http://open.spotify.com/track/0XGw1JFG1kE6rFi4rtvs7w
Heartbreak,Where Were You,Vic Chesnutt,1991,
Sex,Fujiyama Mama,Wanda Jackson,1957,http://open.spotify.com/track/56xQ4YLqsIZ4Kc6R3WEHAx
Party songs,Me and Baby Brother,War,1973,http://open.spotify.com/track/28q8PaM3ROCZMKeNRBg5Yq
Life and death,Regulate,Warren G and Nate Dogg,1994,http://open.spotify.com/track/5EEOjaJyWvfMglmEwf9bG3
Party songs,(Under Mi) Sleng Teng,Wayne Smith,1985,http://open.spotify.com/track/3l9oTzHXnAJcg4x2jU6DvX
Party songs,Break Dance â€“ Electric Boogie,West Street Mob,1983,
Politics and protest,Wham Rap! (Enjoy What You Do),Wham!,1982,http://open.spotify.com/track/0kA7p1R4Cx6CMpUG4tPKfI
Love,How Will I Know,Whitney Houston,1985,http://open.spotify.com/track/0xd9xioBzvbJ0KsqFUE1ob
Sex,Saving All My Love for You,Whitney Houston,1985,http://open.spotify.com/track/0659KEGBXXfDy2pbCtZ9Wd
People and places,Jerusalem,"William Blake, Charles Hubert and Hastings Parry",1916,
People and places,On the Road Again,Willie Nelson,1980,http://open.spotify.com/track/3c4gb10sLoDr3OCoLIKRqm
Love,Iâ€™m in Love,Wilson Pickett,1967,http://open.spotify.com/track/4QDK12L3s53JECMOhx3mdh
People and places,Mustang Sally,Wilson Pickett,1966,http://open.spotify.com/track/2AbmCE9mLpaVMyQeyvlgHN
Politics and protest,This Land Is Your Land,Woody Guthrie,1944,http://open.spotify.com/track/7CNaYAdLyi86kofGafReiT
People and places,Do Re Mi,Woody Guthrie,1940,http://open.spotify.com/track/2IsUkc97tIzMBQg67y3lVP
Politics and protest,Asbestos Lead Asbestos,World Domination Enterprises,1985,
Life and death,Germ Free Adolescents,X-Ray Spex,1978,http://open.spotify.com/track/0h0TIuu7EHy43Cw3aEETjF
